"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP TAO 1.0";"SAP Test Acceleration and Optimization 1.0";"SAP TAO";"SAP Test Acceleration and Optimization";"Technology Platform";"No";"In customer-specific maintenance";"";"14.06.2007";"01.03.2008";"";"";"31.03.2010";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000445";
"SAP TAO 2.0";"SAP Test Acceleration and Optimization 2.0";"SAP TAO";"SAP Test Acceleration and Optimization";"Technology Platform";"Yes";"In customer-specific maintenance";"";"01.09.2009";"12.11.2009";"";"";"31.12.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003925";
"SAP TAO 3.0";"SAP Test Acceleration and Optimization 3.0";"SAP TAO";"SAP Test Acceleration and Optimization";"Technology Platform";"Yes";"In customer-specific maintenance";"";"05.11.2012";"29.03.2013";"";"";"31.12.2020";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900006029";
"SAP TIGER GEO US";"SAP BusinessObjects geocoding for the U.S. 1.0 for TIGER";"SAP TIGER GEO US";"SAP BusinessObjects geocoding";"Technology Platform";"Yes";"In customer-specific maintenance";"";"18.08.2008";"18.08.2008";"";"";"31.12.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900003179";
"SAP TIMP 2.0 BY ALLTAX";"SAP Tax Intelligence Management 2.0 by All Tax";"ALL TAX TIMP";"SAP Tax Intelligence Management by All Tax";"Financial Management";"No";"Unrestricted available";"";"04.11.2021";"04.11.2021";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005881";
"SAP TIMP 3.0 BY ALLTAX";"SAP Tax Intelligence Management 3.0 by All Tax";"ALL TAX TIMP";"SAP Tax Intelligence Management by All Tax";"Financial Management";"No";"Unrestricted available";"";"10.06.2025";"10.06.2025";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900007375";
"SAP TIMP BY ALLTAX FOR BRZL1.0";"SAP Tax Intelligence Management 1.0 by All Tax for Brazil";"SAP TIMP BY ALLTAX FOR BRAZIL";"SAP Tax Intelligence Management by All Tax for Brazil";"Financial Management";"No";"Unrestricted available";"";"04.11.2021";"04.11.2021";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006156";
"SAP TRANSP. RESOURCE PLANG 5.0";"SAP Transportation Resource Planning 5.0";"SAP TRANSP. RESOURCE PLANG";"SAP Transportation Resource Planning";"Supply Chain Management";"Yes";"Unrestricted available";"";"18.02.2022";"18.02.2022";"Ready";"18.02.2022";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005891";
"SAP TST AUTMTION BY TRICNTS1.0";"SAP Test Automation by Tricentis 1.0";"SAP TST AUTMATION BY TRICENTIS";"SAP Test Automation by Tricentis";"Technology Platform";"No";"Unrestricted available";"";"27.02.2024";"27.02.2024";"";"";"31.07.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006851";
"SAP UEM BY KNOA 8.1 ENT. EDTN";"SAP User Experience Management 8.1 by Knoa, enterprise edition";"SAP UEM BY KNOA";"SAP User Experience Management by Knoa";"Technology Platform";"No";"Unrestricted available";"";"21.06.2024";"21.06.2024";"";"";"23.02.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008494";
"SAP UEM BY KNOA CLOUD EDTN 8.1";"SAP User Experience Management 8.1 by Knoa, cloud edition";"SAP UEM BY KNOA CLOUD EDITION";"SAP User Experience Management by Knoa";"Technology Platform";"No";"Unrestricted available";"";"21.06.2024";"21.06.2024";"";"";"23.02.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008472";
"SAP VORA 1";"SAP Vora 1.0";"SAP VORA";"SAP Vora";"Technology Platform";"No";"In customer-specific maintenance";"";"25.09.2015";"01.03.2016";"Ready";"01.05.2015";"30.09.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000415";
"SAP VORA 2";"SAP Vora 2.0";"SAP VORA";"SAP Vora";"Technology Platform";"No";"In customer-specific maintenance";"";"14.09.2017";"14.09.2017";"Ready";"";"01.09.2019";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002341";
"SAP WEB AS 6.10";"SAP NetWeaver Application Server 6.10";"SAP WEB AS";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"";"";"23.07.2001";"";"";"31.12.2006";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900000562";
"SAP WORK CAPITAL ANALYTICS 1.0";"SAP Working Capital Analytics 1.0";"SAP WORKING CAPITAL ANALYTICS";"SAP Working Capital Analytics";"Financial Management";"Yes";"Unrestricted available";"";"27.01.2014";"19.05.2014";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006902";
"SAP WS&O BY CLICKSOFTWARE2.1.5";"SAP Workforce Scheduling and Optimization 2.1.5 by ClickSoftware";"SAP WS&O BY CLICKSOFTWARE";"SAP Workforce Scheduling and Optimization by ClickSoftware";"Human Capital Management";"No";"In customer-specific maintenance";"";"22.12.2011";"22.12.2011";"";"";"31.12.2019";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900006052";
"SAP XECM FOR ENGG 21.4 BY OT";"SAP Extended Enterprise Content Management 21.4 by OpenText, add-on for capital projects and ops";"SAP XECM FOR ENGINEERING BY OT";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"10.03.2022";"10.03.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006245";
"SAP XECM FOR ENGG 22.4 BY OT";"SAP Extended Enterprise Content Management 22.4 by OpenText, add-on for capital projects and ops";"SAP XECM FOR ENGINEERING BY OT";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"24.05.2023";"24.05.2023";"";"";"30.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007463";
"SAP XECM FOR ENGG 23.4 BY OT";"SAP Extended Enterprise Content Mgmt 23.4 by OpenText, add-on for capital projects and operations";"SAP XECM FOR ENGINEERING BY OT";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"28.12.2023";"28.12.2023";"";"";"30.09.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008397";
"SAP XECM FOR ENGG 24.4 BY OT";"SAP Extended Enterprise Content Management 24.4 by OpenText, add-on for capital projects and ops";"SAP XECM FOR ENGINEERING BY OT";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"25.02.2025";"25.02.2025";"";"";"28.10.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009294";
"SAP XECM FOR ENGG CLOUD 20.4";"SAP Extended ECM 20.4 by OpenText, cloud add-on for capital projects and operations";"SAP XECM FOR ENGG CLOUD ETD.";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"30.06.2021";"30.06.2021";"";"";"31.10.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005452";
"SAP XECM FOR ENGG CLOUD 21.4";"SAP Extended Enterprise Content Management 21.4 by OpenText, cloud add-on capital projects and ops";"SAP XECM FOR ENGG CLOUD ETD.";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"10.03.2022";"10.03.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006244";
"SAP XECM FOR ENGG CLOUD 22.4";"SAP Extended Enterprise Content Management 22.4 by OpenText, cloud add-on capital projects and ops";"SAP XECM FOR ENGG CLOUD ETD.";"SAP Extended Enterprise Content Management by OpenText";"Technology Platform";"No";"Unrestricted available";"";"24.05.2023";"24.05.2023";"";"";"30.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007464";
"SAP_DIGITAL_VEHICLE_OPS 1.0";"SAP Digital Vehicle Operations 1.0";"SAP_DIGITAL_VEHICLE_OPS";"SAP Digital Vehicle Suite";"Enterprise Management";"No";"Restricted available  (productive use allowed)";"";"14.11.2021";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005691";
"SAP_IND_PROCESS_FRAMEWORK 1.0";"SAP Industry Process Framework 1.0";"SAP_IND_PROCESS_FRAMEWORK";"SAP Industry Process Framework";"Technology Platform";"No";"Unrestricted available";"";"14.11.2021";"21.08.2022";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005591";
"SBOP DQM SDK 4.0";"SAP Data Quality Management SDK 4.0";"SAP DQM SDK";"SAP Data Quality Management";"Technology Platform";"No";"Out of maintenance";"";"15.10.2010";"18.03.2011";"";"";"31.12.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900002974";
"SBOP EDGE BI 4.0";"SAP BusinessObjects Business Intelligence, Edge edition 4.0, standard package";"SBOP EDGE BI";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Out of maintenance";"";"16.09.2011";"16.09.2011";"Ready";"";"31.12.2015";"";"31.12.2017";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004126";
"SBOP EDGE BI 4.1 WITH DM 4.2";"SAP BusinessObjects Business Intelligence, Edge edition 4.1, version with data management 4.2";"SBOP EDGE BI WITH DM";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Out of maintenance";"";"16.12.2013";"16.12.2013";"Ready";"";"31.12.2018";"";"31.12.2020";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008787";
"SBOP EDGE BI 4.3 WITH DI 4.2";"SAP BusinessObjects Business Intelligence, Edge edition 4.3, with data integration 4.2";"SBOP EDGE BI WITH DI";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"In customer-specific maintenance";"";"27.08.2021";"27.08.2021";"Ready";"";"31.03.2023";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005671";
"SBOP EDGE BI 4.3 WITH DM 4.2";"SAP BusinessObjects Business Intelligence, Edge edition 4.3, with data management 4.2";"SBOP EDGE BI WITH DM";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"In customer-specific maintenance";"";"27.08.2021";"27.08.2021";"Ready";"";"31.03.2023";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005672";
"SCP PRINT SERVICE OD 24H2";"SAP Print service 24H2";"SCP PRINT SERVICE OD";"SAP Business Technology Platform";"Technology Platform";"No";"Restricted available  (productive use allowed)";"";"31.12.2024";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009051";
"SF DOC MGMT CORE 23.4 BY OT";"SAP SuccessFactors Document Management Core 23.4 by Open Text";"EXTENDED ECM FOR SAP SFSF PCE";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"01.02.2024";"01.02.2024";"";"";"31.12.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008404";
"SF DOC MGMT CORE 24.4 BY OT";"SAP SuccessFactors Document Management Core 24.4 by Open Text";"EXTENDED ECM FOR SAP SFSF PCE";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"24.04.2025";"24.04.2025";"";"";"31.12.2029";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008198";
"SF DOC MGMT CORE BY OT 21.4";"SAP SuccessFactors Document Management Core 21.4 by OpenText";"EXTENDED ECM FOR SAP SFSF PCE";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"09.02.2022";"09.02.2022";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006132";
"SF DOC MGMT CORE BY OT 22.4";"SAP SuccessFactors Document Management Core 22.4 by OpenText";"EXTENDED ECM FOR SAP SFSF PCE";"SAP SuccessFactors HCM";"Human Capital Management";"No";"Unrestricted available";"";"11.05.2023";"11.05.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900007323";
"SLH - TAX SERVICE 2.0";"SAP Localization Hub 2.0, tax service";"TAX SERVICE";"localization services";"Technology Platform";"No";"Restricted available  (productive use allowed)";"";"27.03.2020";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900003891";
"SMS TOOLKIT 3.2";"SMS toolkit 3.2 for SAP Mobile Platform SDK";"SAP MOBILE PLATFORM SDK";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"15.01.2020";"15.01.2020";"Ready";"";"";"31.12.2022";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003662";
"SOURCECONNECT HARMONIZATION2.0";"SAP Central Finance Data Harmonization 2.0 by Magnitude for SAP S/4HANA";"MASTERDATA BY INSIGHTSW";"SAP Central Finance Master Data Replication by insightsoftware";"Financial Management";"Yes";"Unrestricted available";"";"01.10.2020";"01.10.2020";"";"";"31.12.2040";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005034";
"SRM PROC PLAN LOC 702";"SAP Supplier Relationship Management, add-on for procurement planning 702";"SRM PROC PLAN LOC";"SAP Supplier Relationship Management";"Supplier Relationship Management";"Yes";"Unrestricted available";"";"30.01.2013";"30.01.2013";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007944";
"SUST MGMT RDP 1.0";"SAP Responsible Design and Production 1.0";"SUST MGMT RDP";"SAP Responsible Design and Production";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"14.11.2021";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900005315";
"SY BRDMARK SURVEILLANCE DB 4.1";"Bradmark Surveillance DB 4.1";"SY BRADMARK SURVEILLANCE DB";"Bradmark Surveillance";"Technology Platform";"No";"In customer-specific maintenance";"";"";"03.12.2008";"";"";"31.03.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008080";
"SY BRDMRK SRVLLNC FOR SYB 4.1";"Bradmark Surveillance OS for SAP software 4.1";"SY BRDMRK SURVEILLANCE FOR SYB";"Bradmark Surveillance";"Technology Platform";"No";"In customer-specific maintenance";"";"";"03.12.2008";"";"";"31.03.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008082";
"SY CEP 4.0";"Sybase Event Stream Processor 4.0";"SY CEP";"SAP Event Stream Processor";"Technology Platform";"No";"In customer-specific maintenance";"";"";"05.11.2012";"";"";"01.07.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006310";
"SY FUZZY LOGIX 1.5";"Sybase Fuzzy Logix 1.5";"SY FUZZY LOGIX";"FUZZY! DataCare Tools";"Technology Platform";"No";"In customer-specific maintenance";"";"27.09.2010";"27.09.2010";"";"";"31.03.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008306";
"SY POWERBUILDER 12.0";"Sybase PowerBuilder 12.0";"SY POWERBUILDER";"SAP PowerBuilder";"Technology Platform";"No";"In customer-specific maintenance";"";"20.04.2010";"20.04.2010";"";"";"30.11.2014";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008112";
"SY RAP 4.1";"Sybase RAP 4.1";"SY RAP";"SAP Sybase RAP";"Technology Platform";"No";"In customer-specific maintenance";"";"";"29.06.2012";"";"";"31.12.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007523";
"SY REPLICATION SERVER 15.5";"Sybase Replication Server 15.5";"SY REPLICATION SERVER";"SAP Replication Server";"Technology Platform";"No";"In customer-specific maintenance";"";"";"02.04.2010";"";"";"01.10.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007544";
"SY SQL ANYWHERE 10.0";"Sybase SQL Anywhere 10.0";"SY SQL ANYWHERE";"SAP SQL Anywhere";"Technology Platform";"No";"In customer-specific maintenance";"";"";"10.05.2007";"";"";"25.01.2012";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007516";
"SY SQL ANYWHERE 11.0";"Sybase SQL Anywhere 11.0";"SY SQL ANYWHERE";"SAP SQL Anywhere";"Technology Platform";"No";"In customer-specific maintenance";"";"";"09.04.2009";"";"";"31.05.2014";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007517";
"SY SQL ANYWHERE 9.0";"SQL Anywhere 9.0";"SY SQL ANYWHERE";"SAP SQL Anywhere";"Technology Platform";"No";"In customer-specific maintenance";"";"";"31.03.2010";"";"";"29.02.2012";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007763";
"SYBASE ADS 11.1";"SAP Advantage Database Server 11.1";"SAP ADS";"SAP Advantage Database Server";"Technology Platform";"No";"In customer-specific maintenance";"";"06.12.2012";"12.12.2013";"";"";"31.12.2016";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006113";
"SYBASE POWERBUILDER 12.6";"SAP PowerBuilder 12.6";"SYBASE POWERBUILDER";"SAP PowerBuilder";"Technology Platform";"No";"In customer-specific maintenance";"18.11.2013";"11.08.2014";"11.08.2014";"";"";"30.06.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008042";
"SYBASE UNWIRED PLATFORM 1.5.5";"Sybase Unwired Platform 1.5.5";"SAP MOBILE PLATFORM";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"31.12.2012";"";"";"";"31.12.2014";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004026";
"SYBASE UNWIRED PLATFORM 2.0";"Sybase Unwired Platform 2.0";"SAP MOBILE PLATFORM";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"16.05.2011";"16.05.2011";"";"";"16.05.2013";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004027";
"SYBASE UNWIRED PLATFORM 2.1";"Sybase Unwired Platform 2.1";"SAP MOBILE PLATFORM";"SAP Mobile Platform";"Technology Platform";"No";"In customer-specific maintenance";"";"14.10.2011";"14.10.2011";"";"";"30.09.2014";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004620";
"TECH DATA EXPORT COMPLIANCE 1";"SAP Technical Data Export Compliance 1.0 by NextLabs";"TECH DATA EXPORT COMPLIANCE";"SAP Technical Data Export Compliance by NextLabs";"Financial Management";"No";"Unrestricted available";"";"30.04.2015";"30.04.2015";"";"";"30.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000488";
